citing_paper,citing_doi,local_number,full_citation,doi
Shono&vandenBrink_2018,10.1038/nrc.2018.10,8,"Bhatt AS et al. Sequence-based discovery of Bradyrhizobium enterica in cord colitis syndrome. N. Engl. J. Med 369, 517–528 (2013). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,10,"van Bekkum DW, Roodenburg J, Heidt PJ & van der Waaij D Mitigation of secondary disease of allogeneic mouse radiation chimeras by modification of the intestinal micro flora. J. Natl Cancer Institute 52, 401–404 (1974).",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,16,"Peled JU et al. Intestinal microbiota and relapse after hematopoietic-cell transplantation. J. Clin. Oncol 35, 1650–1659 (2017).",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,25,"Qin J et al. A human gut microbial gene catalogue established by metagenomic sequencing. Nature 464, 59–65 (2010). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,31,"Kinnebrew MA et al. Early Clostridium difficile infection during allogeneic hematopoietic stem cell transplantation. PIoS ONE 9, e90158 (2014). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,32,"Buffie CG et al. Precision microbiome reconstitution restores bile acid mediated resistance to Clostridium difficile. Nature 517, 205–208 (2015). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,34,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02269150 (2017). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,36,"Schwartz M, Gluck M & Koon S Norovirus gastroenteritis after fecal microbiota transplantation for treatment of Clostridium difficile infection despite asymptomatic donors and lack of sick contacts. Am. J. Gastroenterol 108, 1367 (2013). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,40,"Thaiss CA, Zmora N, Levy M & Elinav E The microbiome and innate immunity. Nature 535, 65–74 (2016). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,44,"Wang W, Xu S, Ren Z, Jiang J & Zheng S Gut microbiota and allogeneic transplantation. J. Transl Med 13, 275 (2015). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,48,"Zeiser R, Socie G & Blazar BR Pathogenesis of acute graft-versus-host disease: from intestinal microbiota alterations to donor T cell activation. Br. J. Haematol 175, 191–207 (2016). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,60,"Qiu J et al. The aryl hydrocarbon receptor regulates gut immunity through modulation of innate lymphoid cells. Immunity 36, 92–104 (2012). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,63,"Brandi K et al. Vancomycin-resistant enterococci exploit antibiotic-induced innate immune deficits. Nature 455, 804–807 (2008). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,65,US National Library of Medicine. ClinicalTrials.gov https://clinicaltrials.gov/ct2/show/study/NCT02406651 (2015). - PubMed,NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,71,"Tanoue T & Honda K Induction of Treg cells in the mouse colonic mucosa: a central mechanism to maintain host-microbiota homeostasis. Semin. Immunol 24, 50–57 (2012). - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,75,"Mathewson ND et al. Gut microbiome-derived metabolites modulate intestinal epithelial cell damage and mitigate graft-versus-host disease. Nat. Immunol 17, 505–513 (2016).",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,78,"Chiusolo P et al. Gut microbiome changes after stem cell transplantation. Blood 126, 1953 (2015).",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,79,"Tawara I et al. Influence of donor microbiota on the severity of experimental graft-versus-host-disease. Biol. Blood Marrow Transplant 19, 164–168 (2013). - PMC - PubMed",NA
Shono&vandenBrink_2018,10.1038/nrc.2018.10,88,"Perez-Simon JA et al. Antibiotic prophylaxis with meropenem after allogeneic stem cell transplantation. Bone Marrow Transplant. 33, 183–187 (2004). - PubMed",NA
