sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped	stages_imputed
SAMEA4506927	Liu2017	336229	336205	321689	320729	320729	318463	318380	269220	merged
SAMEA4506928	Liu2017	234585	234555	225247	222033	222033	203576	203305	193979	merged
SAMEA4506929	Liu2017	203670	203650	195487	194632	194632	194632	194632	194431	merged
SAMEA4506930	Liu2017	267472	267441	257625	257050	257050	256687	256687	256670	merged
SAMEA4506931	Liu2017	295093	295054	282656	281615	281615	279152	277555	274053	merged
SAMEA4506932	Liu2017	305796	305763	290804	290194	290194	288698	288698	285249	merged
SAMEA4506933	Liu2017	216793	216769	208308	206509	206509	184099	183467	182854	merged
SAMEA4506934	Liu2017	279198	279162	267646	266570	266570	262544	261752	259441	merged
SAMEA4506935	Liu2017	216709	216686	209048	208070	208070	204104	202339	198726	merged
SAMEA4506936	Liu2017	249011	248979	238927	238074	238074	237883	237883	237811	merged
SAMEA4506937	Liu2017	293862	293830	281749	280040	280040	271664	271389	256246	merged
SAMEA4506938	Liu2017	266172	266148	255644	253929	253929	249750	249556	247819	merged
SAMEA4506939	Liu2017	344809	344779	328725	327185	327185	311030	310898	309094	merged
SAMEA4506940	Liu2017	177266	177253	170116	168865	168865	166687	166579	164168	merged
SAMEA4506941	Liu2017	135473	135458	130510	129276	129276	123806	123749	113900	merged
SAMEA4506942	Liu2017	438358	438317	421262	420753	420753	418295	418295	416406	merged
SAMEA4506943	Liu2017	292836	292801	281928	281466	281466	278752	278752	278474	merged
SAMEA4506944	Liu2017	433282	433242	418175	417590	417590	414089	414089	413895	merged
SAMEA4506945	Liu2017	700857	700797	677904	675720	675720	675222	675222	673905	merged
SAMEA4506946	Liu2017	315116	315087	303340	301631	301631	286607	286540	279716	merged
SAMEA4506947	Liu2017	392378	392340	378180	375934	375934	363075	362765	360095	merged
SAMEA4506948	Liu2017	299283	299251	289560	288567	288567	281462	281356	281076	merged
SAMEA4506949	Liu2017	402068	402027	389920	388388	388388	347962	347915	347516	merged
SAMEA4506950	Liu2017	304519	304488	293621	291913	291913	270320	269939	268711	merged
SAMEA4506951	Liu2017	353478	353442	341070	339925	339925	334798	334635	331697	merged
SAMEA4506952	Liu2017	378944	378913	365253	364519	364519	362035	361539	360715	merged
SAMEA4506953	Liu2017	275962	275934	265313	263866	263866	260978	260791	255237	merged
SAMEA4506954	Liu2017	261682	261650	251374	250329	250329	244730	244444	235117	merged
SAMEA4506955	Liu2017	456731	456699	436346	435208	435208	434107	433707	403569	merged
SAMEA4506956	Liu2017	142575	142552	137021	136353	136353	136026	136026	136026	merged
SAMEA4506957	Liu2017	239459	239434	230328	229905	229905	229514	229395	228353	merged
SAMEA4506958	Liu2017	170973	170956	163721	162800	162800	162687	162348	157855	merged
SAMEA4506959	Liu2017	186371	186348	178440	177644	177644	177247	177247	176339	merged
SAMEA4506960	Liu2017	262982	262956	254373	253222	253222	252475	252472	252303	merged
SAMEA4506961	Liu2017	265942	265914	255145	253344	253344	250517	250204	247082	merged
SAMEA4506962	Liu2017	131651	131640	126848	125517	125517	102493	99173	90528	merged
SAMEA4506963	Liu2017	233262	233231	225165	224383	224383	213620	213601	213013	merged
SAMEA4506964	Liu2017	248854	248827	237844	237419	237419	236186	236186	232839	merged
SAMEA4506965	Liu2017	401962	401941	389063	388220	388220	367098	366903	366510	merged
SAMEA4506966	Liu2017	359098	359068	343480	342384	342384	330591	329479	316065	merged
SAMEA4506967	Liu2017	288505	288478	272953	272404	272404	269813	269813	267222	merged
SAMEA4506968	Liu2017	159501	159483	153582	152835	152835	133852	133852	133328	merged
SAMEA4506969	Liu2017	332706	332671	317839	316554	316554	294405	294312	292976	merged
SAMEA4506970	Liu2017	212692	212656	204043	202277	202277	178769	178450	178113	merged
SAMEA4506971	Liu2017	338454	338425	326167	324530	324530	293572	292784	292509	merged
SAMEA4506972	Liu2017	242407	242387	233534	232081	232081	225063	224519	220813	merged
SAMEA4506973	Liu2017	341860	341825	328177	326212	326212	300775	300355	299078	merged
SAMEA4506974	Liu2017	187122	187104	180654	179735	179735	177838	177828	177185	merged
SAMEA4506975	Liu2017	486553	486515	472264	471298	471298	470653	470259	470195	merged
SAMEA4506976	Liu2017	263102	263082	254089	252856	252856	218407	218407	217760	merged
SAMEA4506977	Liu2017	231932	231893	223189	222292	222292	221985	221972	221743	merged
SAMEA4506978	Liu2017	101990	101981	97767	96967	96967	96051	96051	95881	merged
SAMEA4506979	Liu2017	458433	458397	440318	439358	439358	436827	434219	419183	merged
