sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped	stages_imputed
SRR28352899	Artacho2024	154820	69414	38854	38573	37811	36470	36470	35058	
SRR28352900	Artacho2024	186282	83945	46570	46006	44946	42655	42580	42159	
SRR28352901	Artacho2024	133277	131874	92094	91341	90197	86465	86447	80566	
SRR28352902	Artacho2024	225727	100648	48586	47883	46841	44726	44716	39629	
SRR28352903	Artacho2024	183368	181378	125530	124832	122649	112179	112169	110830	
SRR28352904	Artacho2024	127432	126145	92688	92342	91540	89780	89776	89713	
SRR28352905	Artacho2024	181935	180444	115705	115023	113275	98869	98860	98809	
SRR28352906	Artacho2024	196399	88361	41478	41275	40205	36836	36836	36832	
SRR28352907	Artacho2024	179688	80106	41420	41173	40007	37919	37915	37284	
SRR28352908	Artacho2024	188589	84591	40642	40489	39386	38741	38741	38715	
SRR28352909	Artacho2024	188697	85058	40628	40499	39049	37960	37960	37958	
SRR28352910	Artacho2024	159924	158309	113200	112676	111614	98851	98851	98511	
SRR28352911	Artacho2024	169059	76261	41532	41325	40835	39185	39185	39183	
SRR28352912	Artacho2024	183608	181526	120084	118335	113737	102254	102254	98869	
SRR28352913	Artacho2024	307640	287287	32021	31815	30491	28576	28576	28184	
SRR28352914	Artacho2024	241064	224076	13544	13488	13205	12583	12583	12583	
SRR28352915	Artacho2024	172859	171089	124045	123398	121776	114815	114812	114751	
SRR28352916	Artacho2024	181158	179303	112450	110714	107825	103364	103344	96884	
SRR28352917	Artacho2024	133761	132363	93217	91777	89099	85116	84729	83603	
SRR28352918	Artacho2024	178471	79189	37077	36885	36415	34908	34908	34908	
SRR28352919	Artacho2024	164089	72497	31929	31780	31485	31225	31223	31216	
SRR28352920	Artacho2024	192902	85614	40629	40105	38833	36001	36001	35963	
SRR28352921	Artacho2024	164341	73002	31975	31830	31420	29882	29851	29842	
SRR28352922	Artacho2024	58235	57572	44322	44183	42936	41212	41206	41179	
SRR28352923	Artacho2024	159248	157808	99646	99126	97361	97009	96986	96677	
SRR28352924	Artacho2024	120241	119300	75107	74858	74110	73695	73614	73021	
SRR28352925	Artacho2024	65696	65103	40954	40737	40129	40100	39860	36976	
SRR28352926	Artacho2024	173576	171693	108863	107841	106144	103924	103198	102617	
SRR28352927	Artacho2024	134868	133767	79531	79167	78371	77894	77842	77269	
SRR28352928	Artacho2024	217023	214943	140142	138280	134355	126027	125147	114431	
SRR28352929	Artacho2024	182192	180617	124610	124226	122040	106328	106328	105122	
SRR28352930	Artacho2024	107202	105954	72903	72397	71568	69148	69148	68140	
SRR28352931	Artacho2024	255785	251675	79389	78497	75739	64779	64779	61986	
SRR28352932	Artacho2024	163885	162315	103538	102441	98633	89066	89046	86547	
SRR28352933	Artacho2024	177416	176058	84807	83841	80731	73542	73483	73322	
SRR28352934	Artacho2024	186684	184851	114176	113527	112423	110579	110559	110518	
SRR28352935	Artacho2024	87842	87052	58869	58674	58169	55556	55556	55527	
SRR28352936	Artacho2024	167524	165930	101981	100212	96992	95436	94888	92728	
SRR28352937	Artacho2024	215062	213273	147236	145785	142415	125737	124786	124507	
SRR28352938	Artacho2024	200069	198089	129722	128517	125984	120891	119849	118175	
SRR28352939	Artacho2024	178669	177096	114131	112196	107756	97966	97745	97485	
SRR28352940	Artacho2024	175411	173913	112802	111592	109722	108783	108318	103943	
SRR28352941	Artacho2024	78331	77671	51540	51290	50963	50262	50262	50205	
SRR28352942	Artacho2024	172032	170383	111263	110573	108334	102347	102343	102334	
SRR28352943	Artacho2024	203419	201717	126271	125529	124156	116882	116878	116253	
SRR28352944	Artacho2024	91470	90531	62513	62383	61546	60703	60204	55478	
SRR28352945	Artacho2024	150797	149498	105458	105132	103059	88430	88430	87241	
SRR28352946	Artacho2024	132309	131267	81371	81147	80705	80429	80419	79883	
SRR28352947	Artacho2024	169892	168148	110436	109311	106890	100843	100837	100671	
SRR28352948	Artacho2024	182755	180657	102803	102482	101135	89368	89203	89201	
SRR28352949	Artacho2024	199422	197605	123426	121426	117734	114071	113062	107774	
SRR28352950	Artacho2024	171824	170034	107863	106562	104274	99762	99484	95072	
SRR28352951	Artacho2024	250113	247720	12568	12326	11280	10942	10942	10938	
SRR28352952	Artacho2024	152348	151055	96552	95828	94178	89901	89899	89892	
SRR28352953	Artacho2024	148362	147367	103729	103476	103262	103248	103230	103089	
SRR28352954	Artacho2024	129596	128203	83672	82495	81019	79807	79552	74901	
SRR28352955	Artacho2024	255230	251048	70249	69927	67636	62357	62357	62342	
SRR28352956	Artacho2024	176804	175020	112962	112817	112598	111183	111183	111165	
SRR28352957	Artacho2024	123001	121817	94900	94793	94368	87561	87561	87549	
SRR28352958	Artacho2024	45081	44693	33155	32981	32871	32195	32192	32183	
SRR28352959	Artacho2024	106842	105605	59171	58924	58687	58449	58441	58339	
SRR28352960	Artacho2024	105222	103991	65481	65079	64386	60480	60476	60446	
