sample-id	study	input	trimmed	filtered	denoised	merged	non_chimeric	qc	mapped
SAMEA4506964	Liu2017	248854	248827	237844	237419		236186	236186	232839
SAMEA4506965	Liu2017	401962	401941	389063	388220		367098	366903	366510
SAMEA4506966	Liu2017	359098	359068	343480	342384		330591	329479	316065
SAMEA4506967	Liu2017	288505	288478	272953	272404		269813	269813	267222
SAMEA4506968	Liu2017	159501	159483	153582	152835		133852	133852	133328
SAMEA4506969	Liu2017	332706	332671	317839	316554		294405	294312	292976
SAMEA4506970	Liu2017	212692	212656	204043	202277		178769	178450	178113
SAMEA4506971	Liu2017	338454	338425	326167	324530		293572	292784	292509
SAMEA4506972	Liu2017	242407	242387	233534	232081		225063	224519	220813
SAMEA4506973	Liu2017	341860	341825	328177	326212		300775	300355	299078
SAMEA4506974	Liu2017	187122	187104	180654	179735		177838	177828	177185
SAMEA4506975	Liu2017	486553	486515	472264	471298		470653	470259	470195
SAMEA4506976	Liu2017	263102	263082	254089	252856		218407	218407	217760
SAMEA4506977	Liu2017	231932	231893	223189	222292		221985	221972	221743
SAMEA4506978	Liu2017	101990	101981	97767	96967		96051	96051	95881
SAMEA4506979	Liu2017	458433	458397	440318	439358		436827	434219	419183
SAMEA4506980	Liu2017	227190	227160	218813	218255		215784	215784	215196
SAMEA4506981	Liu2017	250292	250265	241811	241229		240220	240220	240207
SAMEA4506982	Liu2017	227313	227288	216033	214775		204912	204899	198296
SAMEA4506983	Liu2017	92070	92060	89418	88966		88120	88086	87825
SAMEA4506984	Liu2017	263257	263226	253121	251003		232009	231798	228068
SAMEA4506985	Liu2017	231694	231671	222757	222231		220958	220917	219782
SAMEA4506986	Liu2017	367512	367478	355393	354655		353030	352281	349947
SAMEA4506987	Liu2017	86787	86772	81176	80795		80327	80327	78455
SAMEA4506988	Liu2017	359475	359440	346161	344959		329161	327878	323520
SAMEA4506989	Liu2017	285298	285275	274876	273383		273379	273379	273375
SAMEA4506990	Liu2017	373727	373681	361568	360640		352947	351064	349579
SAMEA4506991	Liu2017	221069	221058	212973	211562		193735	193731	192592
SAMEA4506992	Liu2017	630213	630149	607535	606062		604140	603883	602219
SAMEA4506993	Liu2017	181630	181608	172085	171144		167357	165479	161612
SAMEA4506994	Liu2017	492057	492009	474228	472884		465223	465220	450346
SAMEA4506995	Liu2017	333122	333077	322181	321605		318835	318644	315664
SAMEA4506996	Liu2017	328741	328717	318025	317548		316777	316765	316301
SAMEA4506997	Liu2017	204099	204076	195994	194898		191628	191628	190620
SAMEA4506998	Liu2017	214304	214282	206797	205747		203052	202509	197975
SAMEA4506999	Liu2017	312782	312744	303031	302263		299576	299576	297832
SAMEA4507000	Liu2017	214796	214769	205983	204119		201899	201899	200521
SAMEA4507001	Liu2017	224316	224287	216149	215169		213876	213876	212126
SAMEA4507002	Liu2017	224150	224137	215926	214853		202864	202363	199408
SAMEA4507003	Liu2017	204920	204902	197381	196641		195253	195184	182266
SAMEA4507004	Liu2017	229529	229496	219349	217849		216392	215735	199329
SAMEA4507005	Liu2017	569444	569395	549322	548092		547971	547568	544178
