run_accession	study_accession	sample_accession	fastq_ftp
ERR1688249	PRJEB16057	SAMEA4506945	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688249/ERR1688249.fastq.gz
ERR1688250	PRJEB16057	SAMEA4506946	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688250/ERR1688250.fastq.gz
ERR1688260	PRJEB16057	SAMEA4506956	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688260/ERR1688260.fastq.gz
ERR1688266	PRJEB16057	SAMEA4506962	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688266/ERR1688266.fastq.gz
ERR1688267	PRJEB16057	SAMEA4506963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688267/ERR1688267.fastq.gz
ERR1688276	PRJEB16057	SAMEA4506972	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688276/ERR1688276.fastq.gz
ERR1688278	PRJEB16057	SAMEA4506974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688278/ERR1688278.fastq.gz
ERR1688282	PRJEB16057	SAMEA4506978	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688282/ERR1688282.fastq.gz
ERR1688292	PRJEB16057	SAMEA4506988	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688292/ERR1688292.fastq.gz
ERR1688293	PRJEB16057	SAMEA4506989	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688293/ERR1688293.fastq.gz
ERR1688294	PRJEB16057	SAMEA4506990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688294/ERR1688294.fastq.gz
ERR1688295	PRJEB16057	SAMEA4506991	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688295/ERR1688295.fastq.gz
ERR1688299	PRJEB16057	SAMEA4506995	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688299/ERR1688299.fastq.gz
