run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_selection	submitted_ftp	sra_ftp
ERR1688201	PRJEB16057	SAMEA4506976	408170	human gut metagenome	10564.M74HXLZQ	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688201/10564.M74HXLZQ.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/001/ERR1688201
ERR1688202	PRJEB16057	SAMEA4506977	408170	human gut metagenome	10564.N4CQWP8N	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688202/10564.N4CQWP8N.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688202
ERR1688204	PRJEB16057	SAMEA4506979	408170	human gut metagenome	10564.N9HR3VCU	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688204/10564.N9HR3VCU.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688204
ERR1688206	PRJEB16057	SAMEA4506981	408170	human gut metagenome	10564.NQLWA6VI	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688206/10564.NQLWA6VI.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688206
ERR1688210	PRJEB16057	SAMEA4506985	408170	human gut metagenome	10564.P52RM623	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688210/10564.P52RM623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688210
ERR1688213	PRJEB16057	SAMEA4506988	408170	human gut metagenome	10564.PZDRX7N4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688213/10564.PZDRX7N4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688213
ERR1688214	PRJEB16057	SAMEA4506989	408170	human gut metagenome	10564.QCMUUEDW	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688214/10564.QCMUUEDW.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688214
ERR1688216	PRJEB16057	SAMEA4506991	408170	human gut metagenome	10564.QOHVF823	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688216/10564.QOHVF823.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688216
ERR1688217	PRJEB16057	SAMEA4506992	408170	human gut metagenome	10564.R5UYLI60	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688217/10564.R5UYLI60.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688217
ERR1688223	PRJEB16057	SAMEA4506998	408170	human gut metagenome	10564.UP9H2CYM	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688223/10564.UP9H2CYM.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688223
