Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,case,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,Scientific_Name,SRA Study
ERR13060110,AMPLICON,261,11430708,PRJEB39834,SAMEA115537842,8742236,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431851,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T04:27:00Z,1,A976-61,patient,Homo sapiens,ERP123398
ERR13060112,AMPLICON,277,11423531,PRJEB39834,SAMEA115537844,8917186,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431853,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T05:46:00Z,1,A976-63,patient,Homo sapiens,ERP123398
ERR13060118,AMPLICON,280,50210166,PRJEB39834,SAMEA115537850,37774533,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431859,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-08-14T09:41:00Z,1,K9403-37,patient,Homo sapiens,ERP123398
ERR13060135,AMPLICON,269,14687135,PRJEB39834,SAMEA115537867,11843020,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431876,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:21:00Z,1,K9403-89,patient,Homo sapiens,ERP123398
ERR13060147,AMPLICON,256,8939338,PRJEB39834,SAMEA115537879,7021916,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431888,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:24:00Z,1,K5175-134,patient,Homo sapiens,ERP123398
ERR13060163,AMPLICON,261,38258804,PRJEB39834,SAMEA115537895,28447145,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431904,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:32:00Z,1,K5175-70,patient,Homo sapiens,ERP123398
ERR13060170,AMPLICON,277,37335049,PRJEB39834,SAMEA115537902,27925986,10,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431911,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:31:00Z,1,K1799-80,patient,Homo sapiens,ERP123398
ERR13060172,AMPLICON,278,2283730,PRJEB39834,SAMEA115537904,1760912,10,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431913,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T04:13:00Z,1,K1799-86,patient,Homo sapiens,ERP123398
ERR13059974,AMPLICON,255,72590839,PRJEB39834,SAMEA115537706,53956866,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431715,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T22:59:00Z,1,K6409-31,patient,Homo sapiens,ERP123398
ERR13059981,AMPLICON,255,24788765,PRJEB39834,SAMEA115537713,17580536,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431722,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:17:00Z,1,K6409-68,donor,Homo sapiens,ERP123398
