Title,Abstract
Insights from integrating clinical and preclinical studies advance understanding       of graft-versus-host disease.,"As a result of impressive increases in our knowledge of rodent and human       immunology, the understanding of the pathophysiologic mechanisms underlying       graft-versus-host disease (GVHD) has dramatically improved in the past 15 years.       Despite improved knowledge, translation to clinical care has not proceeded       rapidly, and results from experimental models have been inconsistent in their       ability to predict the clinical utility of new therapeutic agents. In parallel,       new tools in immunology have allowed in-depth analyses of the human system and       have recently been applied in the field of clinical GVHD. Notwithstanding these       advances, there is a relative paucity of mechanistic insights into human       translational research, and this remains an area of high unmet need. Here we       review selected recent advances in both preclinical experimental transplantation       and translational human studies, including new insights into human immunology,       the microbiome, and regenerative medicine. We focus on the fact that both       approaches can interactively improve our understanding of both acute and chronic       GVHD biology and open the door to improved therapeutics and successes."
Gut microbiota variation and diversity and gut graft-versus-host disease (GVHD)       in pediatrics: A systematic review.,"BACKGROUND: Allogeneic hematopoietic stem cell transplantation (HSCT) provides       children with life-threatening conditions an opportunity for survival.       Complications from graft-versus-host disease (GVHD) are a major source of       morbidity and death, recently linked to gut dysbiosis in the hematopoietic stem       cell transplantation (HSCT) population. But so far, no comprehensive study has       been conducted to investigate this relationship in the children population. In       this systematic study, we investigated the Gut microbiota variation and diversity       and gut GVHD in pediatrics. METHODS: A systematic review according to PRISMA       standards was performed from inception till August 2024. Out of 568 originally       chosen publications, 10 studies involving 490 pediatric subjects satisfied the       eligibility criteria and were included. RESULTS: The findings obtained from the       study included in the present systematic study mostly indicated the use of       combined treatments including Busulfan, Cyclophosphamide, and total body       irradiation and in some studies the use of anti-thymocyte globulin and Melphalan       as conditioning regimens. In addition, out of 10 reviewed studies, 9 reported a       significant decrease in gut microbiota diversity following GVHD. However, in all       studies, an increased variation was reported. So that most of the studies showed       a decrease in the levels of beneficial bacteria and producers of short-chain       fatty acid products in the intestine such as Ruminococcaceae and Enterococcus,       which is also observed in the intestinal microbiota population of healthy people.       CONCLUSION: As a result, our findings indicated a decrease in diversity as well       as a change in intestinal microbiota in children with GVHD under HSCT in most of       the studies."
Intestinal epithelial Ceacam1 deficiency prevents steroid-refractory acute gut       graft-versus-host disease.,"Steroid-refractory gut acute graft-versus-host disease (SR-Gut-aGVHD) is the       major cause of nonrelapse death after allogeneic hematopoietic cell       transplantation. High numbers of donor-type IL-22+ T cells, IL-22-dependent       dysbiosis, and loss of antiinflammatory CX3CR1hi mononuclear phagocytes (MNPs)       play critical roles in SR-Gut-aGVHD pathogenesis. CEACAM1 on intestinal       epithelial cells (IECs) is proposed to regulate bacterial translocation and       subsequent immune responses in the intestine. Here, with imaging mass cytometry       (IMC), combined scRNA-Seq with ATAC-Seq, and high-dimensional flow cytometry       analysis, we show that CEACAM1 expression was enhanced on IECs in murine and       human SR-Gut-aGVHD. Ceacam1 deficiency on host IECs effectively prevented       SR-Gut-aGVHD in murine models. Ceacam1 deficiency on IECs resulted in (i) higher       numbers of IL-22+IL-10+Foxp3+CD4+ peripheral Tregs (pTregs) and lower numbers of       conventional IL-22+CD4+ T (Tcon), Th/Tc1, and Th17 cells in the intestine; (ii)       higher prevalence of beneficial commensal bacteria that augment colonic pTreg       expansion, with lower prevalence of pathogenic bacteria; and (iii) higher numbers       of antiinflammatory CD103-CX3CR1hi MNPs that produce indoleamine 2,3-dioxygenase       (IDO) and IL-10, with lower numbers of proinflammatory CD103+CX3CR1lo MNPs that       produce IL-6. Thus, specifically targeting IEC CEACAM1 represents a promising       approach for prevention of SR-Gut-aGVHD."
Unraveling the Mechanisms of Cutaneous Graft-Versus-Host Disease.,"The skin is the most common target organ affected by graft-versus-host disease       (GVHD), with severity and response to therapy representing important predictors       of patient survival. Although many of the initiating events in GVHD pathogenesis       have been defined, less is known about why treatment resistance occurs or why       there is often a permanent failure to restore tissue homeostasis. Emerging data       suggest that the unique immune microenvironment in the skin is responsible for       defining location- and context-specific mechanisms of injury that are distinct       from those involved in other target organs. In this review, we address recent       advances in our understanding of GVHD biology in the skin and outline the new       research themes that will ultimately enable design of precision therapies."
The intestinal microbiota in allogeneic hematopoietic cell transplant and graft-versus-host disease," Hematopoietic cell transplantation (HCT) is a critical treatment of patients with high-risk hematopoietic malignancies, hematological deficiencies, and other immune diseases. In allogeneic HCT (allo-HCT), donor-derived T cells recognize host tissues as foreign, causing graft-versus-host disease (GVHD) which is a main contributor to morbidity and mortality. The intestine is one of the organs most severely affected by GVHD and research has recently highlighted the importance of bacteria, particularly the gut microbiota, in HCT outcome and in GVHD development. Loss of intestinal bacterial diversity is common during the course of HCT and is associated with GVHD development and treatment with broad-spectrum antibiotics. Loss of intestinal diversity and outgrowth of opportunistic pathogens belonging to the phylum Proteobacteria and Enterococcus genus have also been linked to increased treatment-related mortality including GVHD, infections, and organ failure after allo-HCT. Experimental studies in allo-HCT animal models have shown some promising results for prebiotic and probiotic strategies as prophylaxis or treatment of GVHD. Continuous research will be important to define the relation of cause and effect for these associations between microbiota features and HCT outcomes. Importantly, studies focused on geographic and cultural differences in intestinal microbiota are necessary to define applicability of new strategies targeting the intestinal microbiota."
Lactose drives Enterococcus expansion to promote graft-versus-host disease,"Disruption of intestinal microbial communities appears to underlie many human illnesses, but the mechanisms that promote this dysbiosis and its adverse consequences are poorly understood. In patients who received allogeneic hematopoietic cell transplantation (allo-HCT), we describe a high incidence of enterococcal expansion, which was associated with graft-versus-host disease (GVHD) and mortality. We found that Enterococcus also expands in the mouse gastrointestinal tract after allo-HCT and exacerbates disease severity in gnotobiotic models. Enterococcus growth is dependent on the disaccharide lactose, and dietary lactose depletion attenuates Enterococcus outgrowth and reduces the severity of GVHD in mice. Allo-HCT patients carrying lactose-nonabsorber genotypes showed compromised clearance of postantibiotic Enterococcus domination. We report lactose as a common nutrient that drives expansion of a commensal bacterium that exacerbates an intestinal and systemic inflammatory disease."
Compositional Flux Within the Intestinal Microbiota and Risk for Bloodstream Infection With Gram-negative Bacteria,"Gram-negative bloodstream infections (BSIs) represent a significant complication facing allogeneic hematopoietic cell transplant (allo-HCT) recipients, as a result of intestinal translocation during neutropenia. In this study we sought to better understand how the composition of the intestinal microbiota is connected to risk of gram-negative BSIs, expanding on our prior work in these patients. Fecal specimens were collected from recipients of allo-HCT and analyzed using 16S ribosomal RNA gene sequencing. Samples and clinical data extending from the pretransplant conditioning period through stem cell engraftment were used in the analysis. Intestinal domination (relative abundance ≥ 30%) by gram-negative bacteria was used as predictor of gram-negative BSI using Cox proportional hazards modeling. Further analysis of microbiota composition was performed at the genus level. Seven hundred eight allo-HCT subjects were studied (7.5% developed gram-negative infection), with 4768 fecal samples for analysis. Gram-negative intestinal domination was associated with subsequent BSI, which was observed overall and individually at the genus level: Escherichia, Klebsiella, Enterobacter, Pseudomonas, and Stenotrophomonas. Fluoroquinolone prophylaxis was associated with decreased BSI and intestinal colonization by gram-negative microbes. In fluoroquinolone-prophylaxed patients, Escherichia coli was more frequently observed as breakthrough, both in terms of intestinal colonization and BSIs, compared with nonprophylaxed patients. Initial colonization by members of Ruminococcaceae and Bacteroidetes were associated with protection against gram-negative BSI. Gram-negative intestinal colonization is highly predictive of BSI in the setting of allo-HCT. Fluoroquinolones appear to reduce these infections by influencing gut colonization. In this study, the intestinal microbiota and risk of gram-negative bloodstream infections was studied in patients undergoing allogeneic hematopoietic cell transplantation, during neutropenia. Expansion and domination by gram negatives occur in these patients and are predictive of bloodstream infection."
[Haematological aspects of the gut flora].,"The relationship between the gut flora and various diseases (obesity, diabetes       mellitus, metabolic disorders, allergic and autoimmune diseases, inflammatory       bowel diseases, liver failure, infections, certain neuropsychiatric disorders,       tumors) has been highlighted in recent years. Depletion of microbiotics inhibits       bone marrow healing. Infections and their antibiotic treatment may also affect       hematopoiesis. Intestinal flora may also affect the severity of the       graft-versus-host disease and may also play a role in the pathogenesis of       immunthrombocytopenia through the T-regulator cells. The study summarizes the       features of the gut flora, the effects of microbiotics on bone marrow healing,       the course of infections, allogeneic bone marrow transplantation,       graft-versus-host disease, lymphoma and the results of related research and       therapeutic options. The authors briefly discuss the possible linkage between       intestinal flora and immunthrombocytopenia and the effectiveness of the       immunotherapy of tumors and its effect on the von Willebrand-factor synthesis.       They draw attention on the importance of maintaining microbiotics diversity. Orv       Hetil. 2019; 160(20): 774-779."
Clarithromycin As an Alternative and Prophylactic Agent in a Hematopoietic Stem       Cell Transplantation Patient.,"BACKGROUND Nocardia infections have rarely been reported in hematopoietic stem       cell transplantation (HSCT) patients, who usually receive the prophylactic use of       sulfamethoxazole/trimethoprim (ST) against Pneumocystis jiroveci. However, the ST       prophylaxis, sensitive to Nocardia species, sometimes induces renal toxicities.       Therefore, alternative prophylactic or therapeutic drugs are required for       nocardiosis in HSCT patients. CASE REPORT A 34-year-old Japanese man with acute       mixed phenotypic leukemia with t(9; 22) received allogenic peripheral blood HSCT       from a haplo-identical sibling donor. He developed graft versus host disease       (GVHD) with grade II, and was treated with prednisolone and cyclosporine A with       concurrent ciprofloxacin, fluconazole, valacyclovir, and ST. However, the       prophylactic ST was ceased because of its renal toxicity. He developed a       pulmonary nodular lesion with elevated ß-D-glucan and Aspergillus galactomannan       antigen. Repeated blood and sputum culture isolated no pathogens. Voriconazole       treatment administered once improved these lesions and laboratory findings. One       month later, he presented with right pleuritic chest pain and multiple       ring-enhancing cavitation lesions along the ribs. A needle biopsy demonstrated       Nocardia elegans, which is an extremely rare infection induced by Nocardia       species, in the cavitation lesions, shown by 16S rRNA gene sequencing. He was       started on doripenem and liposomal amphotericin B, and a subsequent treatment       kept him free from Nocardia elegans infection, without any adverse effects, while       continuing the cyclosporine A and prednisolone treatment for chronic GVHD.       CONCLUSIONS Clarithromycin has fewer adverse effects than ST. This case suggests       that clarithromycin is an appropriate alternative and prophylactic therapy for       patients with nocardiosis and ST toxicities."
Intestinal graft-versus-host disease: mechanisms and management.,"Allogeneic haematopoietic stem cell transplantation remains the treatment of       choice for a number of malignancies. However, graft-versus-host disease (GVHD)       has long been regarded as a serious complication of this procedure. Although GVHD       may affect any organ, intestinal GVHD is particularly important because of its       frequency, severity and impact on the general condition of the patient. Recent       studies have led to progressive elucidation of the mechanism of GVHD. Donor T       cells are critical for the induction of GVHD, because depletion of T cells from       bone marrow grafts effectively prevents GVHD but also results in an increase of       leukaemia relapse. It has been shown that the gastrointestinal tract plays a       major role in the amplification of systemic disease because gastrointestinal       damage increases the translocation of endotoxins, which promotes further       inflammation and additional gastrointestinal damage. Consequently, the management       of intestinal GVHD (and the intestine itself) is a subject that should be       highlighted. In this article, approaches to the prevention of intestinal GVHD are       discussed after being classified into three categories: regimens in common       clinical use, regimens under investigation and original regimens used at our       hospital. The standard regimen that is used most widely for prevention of GVHD is       cyclosporin plus short-term methotrexate. Corticosteroids can be added to this       regimen but careful consideration of the adverse effects of these hormones should       be considered. Tacrolimus is a newer, more potent alternative to cyclosporin.       T-cell depletion (TCD) after transplantation has been shown to prevent acute       GVHD, however, the survival benefit of TCD has not been as great as expected.       Mycophenolate mofetil can be useful for the treatment of acute GVHD as part of       combination therapy. Regimens currently under investigation in animal experiments       include suppression of inflammatory cytokines and inhibition of T-cell       activation, and, specifically at our institution, hepatocyte growth factor gene       therapy. The evidence-based therapy used at our institution includes systemic       antibacterial therapy (including eradication of intestinal bacteria) to prevent       the intestinal translocation of lipopolysaccharide and avoid the subsequent       increase of various inflammatory cytokines. In addition, because of the       similarities between intestinal GVHD and ulcerative colitis, sulfasalazine,       betamethasone enemas and eicosapentaenoic acid have been used to treat intestinal       GVHD in some patients."
