Title,Abstract
Intestinal Microbiota at Engraftment Influence Acute Graft-Versus-Host Disease via the Treg/Th17 Balance in Allo-HSCT Recipients,"Animal models have indicated that intestinal microbiota influence acute graft-versus-host disease (aGVHD) by modulating immune homeostasis. But, in humans, the mechanism by which the microbiota induces aGVHD remains unclear. In this study, we investigated the relationship between the intestinal microbiota and T cell subsets in patients who undergo allogeneic hematopoietic stem cell transplantation (allo-HSCT) to explore the mechanism by which microbiota induced aGVHD. Based on aGVHD, this study was categorized into two groups: grades II–IV aGVHD (aGVHD group, n = 32) and grade 0–I aGVHD (non-aGVHD group, n = 49). The intestinal microbiota was detected by 16S rRNA gene sequencing, and the T cell subsets and histone 3 (H3) acetylation in CD4+ T cells in the peripheral blood was assayed by flow cytometry at the time of engraftment. The aGVHD group had greater low microbial diversity than the non-aGVHD group (56.3 versus 24.5%, p = 0.004). The bacterial community was depleted of Clostridia (e.g., the Lachnospiraceae and Ruminococcaceae families) and enriched for Gammaproteobacteria (e.g., the Enterobacteriaceae family) in the aGVHD group compared with the non-aGVHD group. The relative abundance of Lachnospiraceae and Ruminococcaceae was positively correlated with the Treg/Th17 ratio counts (r = 0.469 and 0.419; p < 0.001 and <0.001, respectively), whereas Enterobacteriaceae was negatively correlated with the Treg/Th17 ratio (r = −0.277; p = 0.012). The level of acetylated H3 in CD4+ T cells was not only correlated with Lachnospiraceae/Ruminococcaceae, but also with the Treg/Th17 ratio (r = 0.354; p = 0.001). In conclusions, our results suggest that decreased Lachnospiraceae and Ruminococcaceae and increased Enterobacteriaceae, correlate with a Treg/Th17 imbalance, which might be through acetylated H3 in CD4+ T cells. These findings suggest that intestinal microbiota might induce aGVHD by influencing the Treg/Th17 balance."
Intestinal Microbiota Can Predict Acute Graft-versus-Host Disease Following Allogeneic Hematopoietic Stem Cell Transplantation,"The intestinal microbiome plays an important role in the development of acute graft-versus-host disease (aGVHD). However, whether intestinal microbiota can predict the development of aGVHD has been reported only rarely. Here we conducted a prospective study of microbiota in 141 patients after allogeneic hematopoietic stem cell transplantation. We found lower microbiota diversity in the aGVHD group compared with the non-aGVHD group at day 0 and day 15 ± 1 (P = .018 and .009, respectively). Diversity was negatively associated with conditioning intensity (P = .017, day 0; P = .045, day 15) and β-lactam antibiotic administration (P = .004, day 15). Intensified conditioning and β-lactam antibiotics were associated with a lower regulatory T (Treg)/T helper 17 (Th17) cell ratio at day 15 (P = .030 and .047, respectively). At day 15, the levels of the inflammatory factors (tumor necrosis factor α, interleukin [IL]-6, IL-17A, IL-1β, and lipopolysaccharide) were higher in the intensified conditioning group compared with the standard group (P < .05). The accumulated intestinal microbiota (AIM) score was defined as microbiota diversity and gradient of the 4 bacterials (Lachnospiraceae, Peptostreptococcaceae, Erysipelotrichaceae, and Enterobacteriaceae) at day 15 post-transplantation. The AIM score was positively correlated with aGVHD grade (r = .481, P < .001), and the AIM score could be predictive of the development of aGVHD (grade II-IV aGVHD: area under the curve [AUC], .75, P < .001; grade III-IV aGVHD: AUC, .84, P < .001). These findings suggest that intestinal microbiota and conditioning might induce aGVHD by inflammatory factors and the Treg/Th17 balance. The constitution of the intestinal microbiota at neutrophil engraftment may predict the development of aGVHD."
Multi-omics analysis reveals a feedback loop amplifying immune responses in acute       graft-versus-host disease due to imbalanced gut microbiota and bile acid       metabolism.,"Acute graft-versus-host disease (aGVHD) is primarily driven by allogeneic donor T       cells associated with an altered composition of the host gut microbiome and its       metabolites. The severity of aGVHD after allogeneic hematopoietic stem cell       transplantation (allo-HSCT) is not solely determined by the host and donor       characteristics; however, the underlying mechanisms remain unclear. Using       single-cell RNA sequencing, we decoded the immune cell atlas of 12 patients who       underwent allo-HSCT: six with aGVHD and six with non-aGVHD. We performed a fecal       microbiota (16SrRNA sequencing) analysis to investigate the fecal bacterial       composition of 82 patients: 30 with aGVHD and 52 with non-aGVHD. Fecal samples       from these patients were analyzed for bile acid metabolism. Through multi-omic       analysis, we identified a feedback loop involving ""immune cell-gut microbes-bile       acid metabolites"" contributing to heightened immune responses in patients with       aGVHD. The dysbiosis of the gut microbiota and disruption of bile acid metabolism       contributed to an exaggerated interleukin-1 mediated immune response. Our       findings suggest that resistin and defensins are crucial in mitigating against       aGVHD. Therefore, a comprehensive multi-omic atlas incorporating immune cells,       gut microbes, and bile acid metabolites was developed in this study and used to       propose novel, non-immunosuppressive approaches to prevent aGVHD."
Intestinal microbiota score could predict survival following allogeneic       hematopoietic stem cell transplantation.,"Intestinal microbiota is an important prognostic factor for allogeneic       hematopoietic stem cell transplantation (allo-HSCT), but its role in predicting       survival has not been determined. Here, stool samples at day 15 ± 1       posttransplant were obtained from 209 patients at two centers. Microbiota was       examined using 16S rRNA sequencing. The microbiota diversity and abundance of       specific bacteria (including Lachnospiraceae, Ruminococcaceae,       Erysipelotrichaceae, and Enterobacteriaceae) were assigned a value of 0 or 1       depending on whether they were positive or negative associated with survival,       respectively. An accumulated intestinal microbiota (AIM) score was generated, and       patients were divided into low- and high-score groups. A low score was associated       with a better 3-year cumulative overall survival (OS) as well as lower mortality       than a high score (88.5 vs. 43.9% and 7.1 vs. 35.8%, respectively; both       P < 0.001). In multivariate analysis, a high score was found to be an independent       risk factor for OS and transplant-related mortality (hazard ratio = 5.68 and       3.92, respectively; P < 0.001 and 0.003, respectively). Furthermore, the AIM       score could serve as a predictor for survival (area under receiver operating       characteristic curve = 0.836, P < 0.001). Therefore, the intestinal microbiota       score at neutrophil recovery could predict survival following allo-HSCT."
Impact of anti-anaerobic antibiotic activity on graft-versus-host disease in       allogeneic hematopoietic stem cell transplant (HSCT) recipients at an institution       that utilizes antibiotic cycling.,"BACKGROUND: At our institution, antibiotic cycling for febrile neutropenia is       utilized to increase heterogeneity of antibiotic exposure in patients who have       undergone an allogeneic hematopoietic stem cell transplantation (allo-HSCT).       Development of acute graft-versus-host disease (aGVHD) has been associated with       low diversity within stool microbiota. To date, discordant outcomes have been       reported implicating anti-anaerobic antibiotic use with the development of aGVHD,       and there is currently a lack of published data available in an antibiotic cycled       environment. The objective of this study was to determine if there is a       difference in the rate of aGVHD in patients who receive anti-anaerobic cycled       antibiotics compared with other cycled antibiotics. METHODS: This was a       retrospective, observational study evaluating rates of aGVHD in patients who       received antibiotics with anaerobic vs non-anaerobic coverage post-allo-HSCT from       January 2008 to January 2018. Univariate and multivariable analyses were       performed to assess associations with aGVHD. Secondary outcomes include rate of       all stages of aGVHD, progression-free survival, overall survival, 100-day       treatment-related mortality (TRM), and 1-year TRM. RESULTS: A total of 273       patients were included in the study. Baseline characteristics were similar       between groups, except patients who received anti-anaerobic antibiotics had more       unrelated donors (P = .002), were more likely to get myeloablative preparatory       regimens (P = .009), had less subtherapeutic calcineurin inhibitor serum       concentrations (P = .001), and more often received T-cell depletion (P = .004).       The incidence of grades II-IV aGVHD post-HSCT in patients who received       anti-anaerobic antibiotics was 32.6% compared with 18.8% in patients who received       other antibiotics (P = .015). Multivariable analysis showed that the occurrence       of grades II-IV aGVHD was associated with cytomegalovirus reactivation (OR = 2.1,       95% CI = 1.0-4.5, P = .047), unrelated donors (OR = 6.1, 95% CI = 2.3-16.6,       P < .001), and use of anti-anaerobic antibiotics (OR = 2.3, 95% CI = 1.1-4.8,       P = .021). A 100-day TRM in patients who received anti-anaerobic antibiotics was       9.6% compared with 3.6% in patients who received other antibiotics (P = .046).       One-year TRM in patients who received anti-anaerobic antibiotics was 25.2%       compared with 13.8% in patients who received other antibiotics (P = .017). There       was no statistically significant difference seen between groups in progression       free survival or overall survival. CONCLUSION: Variability in baseline       characteristics limits ability to make strong conclusions, but patients who       received antibiotics with anaerobic coverage during the first 30 days after an       allogeneic HSCT appeared to be at an increased risk of developing aGVHD and TRM.       Larger well-controlled trials are warranted to further clarify these       relationships."
Bile acids regulate intestinal antigen presentation and reduce graft-versus-host       disease without impairing the graft-versus-leukemia effect.,"Acute graft-versus-host disease causes significant mortality in patients       undergoing allogeneic hematopoietic cell transplantation. Immunosuppressive       treatment for graft-versus-host disease can impair the beneficial       graft-versus-leukemia effect and facilitate malignancy relapse. Therefore, novel       approaches that protect and regenerate injured tissues without impeding the donor       immune system are needed. Bile acids regulate multiple cellular processes and are       in close contact with the intestinal epithelium, a major target of acute       graft-versus-host disease. Here, we found that the bile acid pool is reduced       following graft-versus-host disease induction in a preclinical model. We       evaluated the efficacy of bile acids to protect the intestinal epithelium without       reducing anti-tumor immunity. We observed that application of bile acids       decreased cytokine-induced cell death in intestinal organoids and cell lines.       Systemic prophylactic administration of tauroursodeoxycholic acid, the most       potent compound in our in vitro studies, reduced graft-versus-host disease       severity in three different murine transplantation models. This effect was       mediated by decreased activity of the antigen presentation machinery and       subsequent prevention of apoptosis of the intestinal epithelium. Moreover, bile       acid administration did not alter the bacterial composition in the intestine       suggesting that its effects are cell-specific and independent of the microbiome.       Treatment of human and murine leukemic cell lines with tauroursodeoxycholic acid       did not interfere with the expression of antigen presentation-related molecules.       Systemic T cell expansion and especially their cytotoxic capacity against       leukemic cells remained intact. This study establishes a role for bile acids in       the prevention of acute graft-versus-host disease without impairing the       graft-versus-leukemia effect. In particular, we provide a scientific rationale       for the systematic use of tauroursodeoxycholic acid in patients undergoing       allogeneic hematopoietic cell transplantation."
[Key players in intestinal GVHD].,"Acute graft versus host disease (GVHD) is a potentially life threatening       complication after allogeneic hematopoietic stem cell transplantation. The gut is       one of the most frequently affected organs in GVHD. Intestinal GVHD is often       resistant to current therapies for GVHD and greatly affects the nutritional       status of patients. Recent advances in understanding the biology of the       intestinal immune system have revealed the significance of mechanical and       chemical barriers involving the intestinal mucosa and intestinal microflora in       the pathophysiology of GVHD. These barriers and flora are tightly regulated by       key populations such as intestinal stem cells, Paneth cells, innate lymphoid       cells, and macrophages. Recent findings for these key players in the process of       intestinal GVHD are reviewed in this article."
[Graft-versus-host disease: new insights into disease pathogenesis].,"Graft-versus-host disease (GVHD) is a potentially life-threatening complication       associated with allogeneic hematopoietic stem cell transplantation (allo-SCT).       Although prophylaxis and GVHD treatment using immunosuppressants are essential       for a successful allo-SCT, profound immunosuppression could lead to an infection       and/or the recurrence of malignant diseases. Recently, the concept of tissue       tolerance has emerged. This concept has been identified as a means to suppress       GVHD by relying on tissue-intrinsic mechanisms that are independent from those       underlying immune tolerance. Thus, GVHD prophylaxis and treatments targeting the       mechanisms that promote tissue tolerance could help suppress GVHD and maintain       leukocyte-mediated immune responses against tumors and infectious pathogens.       Epithelial regeneration from LGR5-positive intestinal stem cells and epithelial       maintenance mediated by metabolites from the intestinal microbiota are       representative mechanisms that promote tissue tolerance in the gut. However,       these protective mechanisms are weakened by GVHD and conditioning regimens. This       review focuses on the pathophysiology of acute GVHD and tissue-intrinsic       mechanisms that promote tissue tolerance."
A single nucleotide polymorphism at chromosome 2q21.3 (LCT -13910C>T) associates       with clinical outcome after allogeneic hematopoietic stem cell transplantation.,"A single nucleotide polymorphism (SNP) responsible for lactase persistence (LCT       -13910C>T) changes intestinal microflora. Considering the influence of bacterial       microflora on various immune effects, we tested DNA from 111 recipients/donors       and analyzed whether this SNP interferes with survival and the incidence of acute       graft-versus-host disease (aGVHD) after allogeneic hematopoetic stem cell       transplantations (HSCT). Median overall survival (OS) was significantly longer       when donors had a CC genotype (not reached after 133 vs 11.1 months, P = .004).       Multivariate analysis identified a donor T allele (hazard ratio 2.63, 95%       confidence interval 1.29-5.33, P = .008) as independent risk factor for death.       Surprisingly, recipient genotypes did not influence outcome and there were no       differences regarding aGVHD. Transplantation-related mortality (TRM), relapse and       pneumonia were significantly less frequent in patients with CC donors. These       findings add to the growing list of non-HLA polymorphisms with impact on outcome       after allogeneic HSCT."
[Induction and regulation of intestinal graft-versus-host disease by the       intestinal microbiota].,"The intestinal microbiota is an important prognostic factor for allogeneic       hematopoietic stem cell transplantation (allo-HCT), and decreased diversity of       the intestinal microbiota is linked to shorter overall survival, high       transplant-related mortality, and acute graft-versus-host disease (GVHD). Major       factors that alter the intestinal microbiota during allo-HCT are broad-spectrum       antibiotics and intestinal GVHD. Broad-spectrum antibiotics dysregulate the       immune system and impair intestinal epithelial regeneration by reducing       beneficial commensal bacteria and activating mucus-degrading bacteria, which       disrupts the colonic barrier function. Intestinal GVHD leads to decreased       secretion of antimicrobial peptides into the intestinal lumen, as well as       mitochondrial dysfunction in the intestinal epithelium, altering the intestinal       microbiota. Various therapeutic approaches targeting the intestinal microbiota       have been investigated in clinical trials. Protecting the intestinal microbiota       may further enhance the safety and efficacy of allo-HCT by regulating intestinal       immune responses, promoting intestinal epithelial regeneration, and facilitating       the production of beneficial metabolites derived from commensal bacteria."
