Title,Abstract
Faecal microbiota transplantation in patients with haematological malignancies       undergoing cellular therapies: from translational research to routine clinical       practice.,"The effect of the gut microbiota on patients' outcomes after allogeneic       haematopoietic cell transplantation (HCT) is now well established. In particular,       gut microbiota dysbiosis has been associated with acute graft-versus-host disease       (GVHD). Furthermore, increasing data also suggest an effect of the gut microbiota       on outcome after autologous HCT and CAR T cells. In fact, the bacterial gut       microbiota interplays with the immune system and contributes to immunological       complication and antitumour response to treatment. Therefore, faecal microbiota       transplantation has been evaluated in patients with haematological malignancies       for various indications, including Clostridioides difficile infection,       eradication of multidrug-resistant bacteria, and steroid refractory acute GVHD.       In addition, use of prophylactic faecal microbiota transplantation to restore the       gut microbiota and improve patients' outcomes is being developed in the setting       of allogeneic HCT, but also probably very soon in patients receiving autologous       HCT or CAR T cells."
High gastrointestinal microbial diversity and clinical outcome in graft-versus-host disease patients,
Treatment of intestinal graft-versus-host disease with unrelated donor fecal       microbiota transplantation capsules: A case report.,"INTRODUCTION: Fecal microbiota transplantation (FMT), administering fecal       suspensions via a nasoduodenal tube, has achieved a promising effect in the       treatment of intestinal graft-versus-host disease (GvHD) in some pilot studies.       In this study, oral FMT capsules from unrelated donor were used for the first       time in the treatment of intestinal GvHD. Patient concerns: A 31-year-old male       who was diagnosed as ""myelodysplastic syndromes with excess blasts II""       (intermediate risk 2 of international prognostic scoring system) received human       leukocyte antigen -matched sibling donor allogeneic hematopoietic stem cell       transplantation. The patient developed diarrhea, vomiting, and bloody stool on 28       days after transplantation. DIAGNOSIS: Intestinal acute GvHD was diagnosed       clinically with histological confirmation by colonoscopy and pathological biopsy.       INTERVENTIONS: This patient was treated with first cycle of oral FMT capsules       after failure to initial treatment of methylprednisolone (2 mg/kg/d) combined       with recombinant human tumor necrosis factor-α receptorII: IgG Fc fusion protein       (25 mg, biw). The symptoms of intestinal GvHD were relieved but recurred 11 days       later. Second cycle of oral FMT capsules was carried out. OUTCOMES: After 2       cycles of fecal bacteria transplantation, intestinal GvHD was gradually       controlled and did not recur again during the 2-month follow-up. The diversity       and structure of the intestinal flora after FMT was closer to that of healthy       donors than that before. CONCLUSION: Our case showed oral FMT capsules could be       used as a treatment option for corticosteroid refractory intestinal GvHD. Further       studies are warranted to assess the clinical efficacy and safety of oral FMT       capsules in the treatment of intestinal GvHD. RATIONALE: Fecal microbiota       transplantation (FMT), administering fecal suspensions via a nasoduodenal tube,       has achieved a promising effect in the treatment of intestinal graft-versus-host       disease (GvHD) in some pilot studies. In this study, oral FMT capsules from       unrelated donor were used for the first time in the treatment of intestinal GvHD.       PATIENT CONCERNS: A 31-year-old male who was diagnosed as ""myelodysplastic       syndromes with excess blasts II"" (intermediate risk 2 of international prognostic       scoring system) received human leukocyte antigen -matched sibling donor       allogeneic hematopoietic stem cell transplantation. The patient developed       diarrhea, vomiting, and bloody stool on 28 days after transplantation. DIAGNOSES:       Intestinal acute GvHD was diagnosed clinically with histological confirmation by       colonoscopy and pathological biopsy. INTERVENTIONS: This patient was treated with       first cycle of oral FMT capsules after failure to initial treatment of       methylprednisolone (2 mg/kg/d) combined with recombinant human tumor necrosis       factor-a receptorII: IgG Fc fusion protein (25 mg, biw). The symptoms of       intestinal GvHD were relieved but recurred 11 days later. Second cycle of oral       FMT capsules was carried out. OUTCOMES: After 2 cycles of fecal bacteria       transplantation, intestinal GvHD was gradually controlled and did not recur again       during the 2-month follow-up. The diversity and structure of the intestinal flora       after FMT was closer to that of healthy donors than that before. CONCLUSION: Our       case showed oral FMT capsules could be used as a treatment option for       corticosteroid refractory intestinal GvHD. Further studies are warranted to       assess the clinical efficacy and safety of oral FMT capsules in the treatment of       intestinal GvHD. LESSONS: There is still a possibility of recurrence after the       treatment of GvHD with capsule fecal microbiota transplantation. How to optimize       the dosage and treatment course of fecal microbiota capsule administration needs       further exploration."
Pre-Transplant Prediction of Acute Graft-versus-Host Disease Using the Gut       Microbiome.,"Gut microbiota is thought to influence host responses to allogeneic hematopoietic       stem cell transplantation (aHSCT). Recent evidence points to this post-transplant       for acute graft-versus-host disease (aGvHD). We asked whether any such       association might be found pre-transplant and conducted a metagenome-wide       association study (MWAS) to explore. Microbial abundance profiles were estimated       using ensembles of Kaiju, Kraken2, and DeepMicrobes calls followed by       dimensionality reduction. The area under the curve (AUC) was used to evaluate       classification of the samples (aGvHD vs. none) using an elastic net to test the       relevance of metagenomic data. Clinical data included the underlying disease       (leukemia vs. other hematological malignancies), recipient age, and sex. Among       172 aHSCT patients of whom 42 developed aGVHD post transplantation, a total of       181 pre-transplant tool samples were analyzed. The top performing model       predicting risk of aGVHD included a reduced species profile (AUC = 0.672). Beta       diversity (37% in Jaccard's Nestedness by mean fold change, p < 0.05) was lower       in those developing aGvHD. Ten bacterial species including Prevotella and       Eggerthella genera were consistently found to associate with aGvHD in indicator       species analysis, as well as relief and impurity-based algorithms. The findings       support the hypothesis on potential associations between gut microbiota and aGvHD       based on a data-driven approach to MWAS. This highlights the need and relevance       of routine stool collection for the discovery of novel biomarkers."
Microbiota Predict Infections and Acute Graft-Versus-Host Disease After Pediatric Allogeneic Hematopoietic Stem Cell Transplantation,"Despite preventive measures, infections continue to pose significant risks to pediatric allogeneic hematopoietic cell transplantation (allo-HCT) recipients. The gut microbiota has been linked to clinical outcomes following adult allo-HCT. This study evaluated whether similar disruptions or differing microbiota patterns were associated with infection risk in pediatric allo-HCT. In a prospective observational study, fecal samples were obtained from 74 children before conditioning and upon neutrophil recovery. Microbiome signatures identified through sequencing were examined for their associations with infections or acute graft-versus-host disease (aGVHD) in the first-year post-HCT using Cox proportional hazards analysis. Microbiome disruption in adults, did not predict infection risk in pediatric allo-HCT. Unique microbiota signatures were associated with different infections or aGVHD. A ratio of strict and facultative anaerobes (eg, Lachnoclostridium, Parabacteroides) prior to conditioning predicted bacteremia risk (Cox hazard ratio [HR], 3.89). A distinct ratio of oral (eg, Rothia, Veillonella) to intestinal anaerobes (eg, Anaerobutyricum, Romboutsia) at neutrophil recovery predicted likelihood of bacterial infections (Cox HR, 1.81) and viral enterocolitis (Cox HR, 1.96). Interactions between medical interventions, pediatric hosts, and microbial communities contribute to microbiota signatures that predict infections. Further multicenter study is necessary to validate the generalizability of these ratios as biomarkers. Gut microbial communities can predict which children after hematopoietic cell transplantation will have infections or acute graft-versus-host disease. These ratios of gut community members can be used to focus prevention and treatment on children at highest risks for complications."
Exocrine pancreatic insufficiency after allogeneic bone marrow transplantation.,"Several reports suggest a relationship between bone marrow transplantation and       pancreatic damage. The authors describe two patients with pancreatic       insufficiency after bone marrow transplantation. The first patient had weight       loss arising from steatorrhea secondary to severe pancreatic insufficiency       (lipase output result <3% of normal) due to pancreatic atrophy. The second       patient had steatorrhea secondary to intestinal bacterial overgrowth, but       moderate pancreatic insufficiency was present (results of trypsin and lipase       outputs were 50 and 30% of normal). Before the diagnosis of pancreatic       insufficiency, both patients had acute graft vs host disease and the second       patient had chronic graft vs host disease. We conclude that graft vs host disease       after bone marrow transplantation may damage the pancreas. Patients with       persistent malabsorption after bone marrow transplantation should be tested for       exocrine pancreatic insufficiency."
The microbe-derived short-chain fatty acids butyrate and propionate are associated with protection from chronic GVHD," Studies of the relationship between the gastrointestinal microbiota and outcomes in allogeneic hematopoietic stem cell transplantation (allo-HCT) have thus far largely focused on early complications, predominantly infection and acute graft-versus-host disease (GVHD). We examined the potential relationship of the microbiome with chronic GVHD (cGVHD) by analyzing stool and plasma samples collected late after allo-HCT using a case-control study design. We found lower circulating concentrations of the microbe-derived short-chain fatty acids (SCFAs) propionate and butyrate in day 100 plasma samples from patients who developed cGVHD, compared with those who remained free of this complication, in the initial case-control cohort of transplant patients and in a further cross-sectional cohort from an independent transplant center. An additional cross-sectional patient cohort from a third transplant center was analyzed; however, serum (rather than plasma) was available, and the differences in SCFAs observed in the plasma samples were not recapitulated. In sum, our findings from the primary case-control cohort and 1 of 2 cross-sectional cohorts explored suggest that the gastrointestinal microbiome may exert immunomodulatory effects in allo-HCT patients at least in part due to control of systemic concentrations of microbe-derived SCFAs."
The Post-HCT Intestinal Microbiome: Who are the Key Disruptors and How Long does       the Damage Last?,
Rifaximin use favoured micafungin-resistant Candida spp. infections in recipients       of allogeneic hematopoietic cell transplantation.,"Damage to gut mucosa following conditioning regimens may favour bacterial       infections that can trigger graft versus host disease (GvHD) in patients       undergoing allogeneic hematopoietic stem cell transplantation (HSCT). Rifaximin,       an oral and non-absorbable antibiotic, has been recently proposed as effective       prophylaxis to reduce bacterial infections in the gut and consequently acute GvHD       in this setting. The present study evaluated safety and outcomes of HSCT patients       that were treated with rifaximin prophylaxis at Perugia University Hospital.       Rifaximin prophylaxis was introduced as standard of care in HSCT patients in May       2018. We retrieved data from 118 consecutive transplants, and we compared the       outcomes of rifaximin-treated patients with historical controls that did not       receive antibiotic prophylaxis. While incidences of neutropenic fever, documented       bacterial infections, and aGvHD were similar in the two groups, we found an       increased frequency of invasive candidiasis and clinically relevant Candida spp.       infections in rifaximin-treated patients (5 patients vs 1 patient, 25% [± 0.99%]       vs 1% [± 0.01%], p < .0001). Three rifaximin-treated patients experienced       life-threating candidemia (2 C. krusei, 1 C. orthopsilosis). Rifaximin was the       only factor that increased the risk of Candida spp. infections. Rifaximin could       have contributed to microbiome disruption which favoured an outbreak of       life-threatening Candida infections. This important complication forced us to       halt its use. Larger, prospective studies are needed to assess the impact of       rifaximin prophylaxis on incidence of bacterial infections, aGvHD, and survival       of HSCT patients."
Gut microbiota diversity before allogeneic hematopoietic stem cell       transplantation as a predictor of mortality in children.,"The correlation existing between gut microbiota diversity and survival after       allogeneic hematopoietic stem cell transplantation (allo-HSCT) has so far been       studied in adults. Pediatric studies question whether this association applies to       children as well. Stool samples from a multicenter cohort of 90 pediatric       allo-HSCT recipients were analyzed using 16S ribosomal RNA amplicon sequencing to       profile the gut microbiota and estimate diversity with the Shannon index. A       global-to-local networking approach was used to characterize the ecological       structure of the gut microbiota. Patients were stratified into higher- and       lower-diversity groups at 2 time points: before transplantation and at neutrophil       engraftment. The higher-diversity group before transplantation exhibited a higher       probability of overall survival (88.9% ± 5.7% standard error [SE] vs 62.7% ± 8.2%       SE; P = .011) and lower incidence of grade 2 to 4 and grade 3 to 4 acute       graft-versus-host disease (aGVHD). No significant difference in relapse-free       survival was observed between the 2 groups (80.0% ± 6.0% SE vs 55.4% ± 10.8% SE;       P = .091). The higher-diversity group was characterized by higher relative       abundances of potentially health-related microbial families, such as       Ruminococcaceae and Oscillospiraceae. In contrast, the lower-diversity group       showed an overabundance of Enterococcaceae and Enterobacteriaceae. Network       analysis detected short-chain fatty acid producers, such as Blautia,       Faecalibacterium, Roseburia, and Bacteroides, as keystones in the       higher-diversity group. Enterococcus, Escherichia-Shigella, and Enterobacter were       instead the keystones detected in the lower-diversity group. These results       indicate that gut microbiota diversity and composition before transplantation       correlate with survival and with the likelihood of developing aGVHD."
