Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,SRA Study,Submitter_Id,INSDC_center_alias,Library Name,collection_date,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea)
ERR10966893,AMPLICON,367,9575855,PRJEB53547,SAMEA112746301,7858713,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403731,SAMEA112746301,University Hospital Regensburg,2023-03-05T12:22:37Z,2023-03-05T12:22:37Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:45:00Z,1,SAMEA112746301,MOITS_039,human metagenome,ERP138358,MOITS_039,University Hospital Regensburg,ERS14741563,,,,
ERR10966894,AMPLICON,354,19240653,PRJEB53547,SAMEA112746302,15758557,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403732,SAMEA112746302,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746302,MOITS_040,human metagenome,ERP138358,MOITS_040,University Hospital Regensburg,ERS14741564,,,,
ERR10966895,AMPLICON,388,23685,PRJEB53547,SAMEA112746303,99848,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403733,SAMEA112746303,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:45:00Z,1,SAMEA112746303,MOITS_041,human metagenome,ERP138358,MOITS_041,University Hospital Regensburg,ERS14741565,,,,
ERR10966896,AMPLICON,331,26219195,PRJEB53547,SAMEA112746304,21236998,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403734,SAMEA112746304,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T01:30:00Z,2,SAMEA112746304,MOITS_042,human metagenome,ERP138358,MOITS_042,University Hospital Regensburg,ERS14741566,,,,
ERR10966897,AMPLICON,360,15133838,PRJEB53547,SAMEA112746305,12431987,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403735,SAMEA112746305,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T01:27:00Z,2,SAMEA112746305,MOITS_043,human metagenome,ERP138358,MOITS_043,University Hospital Regensburg,ERS14741567,,,,
ERR10966898,AMPLICON,358,12212041,PRJEB53547,SAMEA112746306,10091301,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403736,SAMEA112746306,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:45:00Z,1,SAMEA112746306,MOITS_044,human metagenome,ERP138358,MOITS_044,University Hospital Regensburg,ERS14741568,,,,
ERR10966899,AMPLICON,369,13686168,PRJEB53547,SAMEA112746307,11223267,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403737,SAMEA112746307,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:45:00Z,1,SAMEA112746307,MOITS_045,human metagenome,ERP138358,MOITS_045,University Hospital Regensburg,ERS14741569,,,,
ERR10966900,AMPLICON,356,16286420,PRJEB53547,SAMEA112746308,13447030,UNIVERSITY HOSPITAL REGENSBURG,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403738,SAMEA112746308,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746308,MOITS_046,human metagenome,ERP138358,MOITS_046,University Hospital Regensburg,ERS14741570,,,,
ERR10966901,AMPLICON,360,14832270,PRJEB53547,SAMEA112746309,12210869,UNIVERSITY HOSPITAL REGENSBURG,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403739,SAMEA112746309,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746309,MOITS_047,human metagenome,ERP138358,MOITS_047,University Hospital Regensburg,ERS14741571,,,,
ERR10966902,AMPLICON,307,18217654,PRJEB53547,SAMEA112746310,15139908,UNIVERSITY HOSPITAL REGENSBURG,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2023-03-05,2023-03-05,2023-03-05,2023-03-05,ERX10403740,SAMEA112746310,University Hospital Regensburg,2023-03-05T12:22:38Z,2023-03-05T12:22:38Z,public,Ion GeneStudio S5 Plus,SINGLE,PCR,METAGENOMIC,human metagenome,ION_TORRENT,2023-03-06T00:00:00Z,2023-03-11T00:46:00Z,1,SAMEA112746310,MOITS_048,human metagenome,ERP138358,MOITS_048,University Hospital Regensburg,ERS14741572,,,,
