Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_strain,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,treatment
SRR10948077,AMPLICON,552,69526554,PRJNA602524,SAMN13898122,Metagenome or environmental,39010159,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615183,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD30.1-3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,GVHD30.1-3,SRP243834,Control
SRR10948078,AMPLICON,552,68494902,PRJNA602524,SAMN13898121,Metagenome or environmental,38387329,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615182,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD30.1-2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:48:00Z,1,GVHD30.1-2,SRP243834,Control
SRR10948079,AMPLICON,552,60003902,PRJNA602524,SAMN13898120,Metagenome or environmental,34907432,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615181,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD30.1-1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:48:00Z,1,GVHD30.1-1,SRP243834,Control
SRR10948080,AMPLICON,552,52055707,PRJNA602524,SAMN13898119,Metagenome or environmental,31949132,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615180,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre241,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,6,2020-01-22T00:48:00Z,1,Pre241,SRP243834,Pre.HSCT.HFD
SRR10948081,AMPLICON,552,94166147,PRJNA602524,SAMN13898083,Metagenome or environmental,57066164,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615179,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Obese.2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:48:00Z,1,GVHD.27.Obese.2,SRP243834,Obese
SRR10948082,AMPLICON,552,69081482,PRJNA602524,SAMN13898118,Metagenome or environmental,42198050,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615178,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre240,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,5,2020-01-22T00:48:00Z,1,Pre240,SRP243834,Pre.HSCT.HFD
SRR10948083,AMPLICON,552,41099478,PRJNA602524,SAMN13898117,Metagenome or environmental,25239756,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615177,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre239,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:48:00Z,1,Pre239,SRP243834,Pre.HSCT.HFD
SRR10948084,AMPLICON,552,34118717,PRJNA602524,SAMN13898116,Metagenome or environmental,21995711,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615176,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre238,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:48:00Z,1,Pre238,SRP243834,Pre.HSCT.HFD
SRR10948085,AMPLICON,552,39779628,PRJNA602524,SAMN13898115,Metagenome or environmental,25639403,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615175,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre237,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:48:00Z,1,Pre237,SRP243834,Pre.HSCT.HFD
SRR10948086,AMPLICON,552,40853754,PRJNA602524,SAMN13898114,Metagenome or environmental,26273769,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615174,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Pre236,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:48:00Z,1,Pre236,SRP243834,Pre.HSCT.HFD
