Feature ID	Taxon
MJ006-2-barcode74-umi167704bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
GB-GCA-910573865.1-CAJTBA010000041.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 rodentium
MJ006-1-barcode29-umi107673bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 clarus
RS-GCF-902363315.1-NZ-CABIZW010000010.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 clarus
MJ009-1-barcode40-umi98658bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode29-umi51398bins-ubs-8	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
MJ009-1-barcode40-umi50833bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
MJ006-2-barcode71-umi49284bins-ubs-8	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
MJ006-1-barcode31-umi102262bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
MJ006-2-barcode54-umi144408bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
MJ005-barcode41-umi112885bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode62-umi94507bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 stercoris
MJ006-2-barcode53-umi152854bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 eggerthii
MJ006-1-barcode40-umi135191bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 eggerthii
RS-GCF-015560775.1-NZ-JADMSM010000005.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 eggerthii
MJ006-1-barcode40-umi108522bins-ubs-5	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
AB214328	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-015554445.1-NZ-JADNIN010000006.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 cellulosilyticus
MJ006-2-barcode72-umi25799bins-ubs-12	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 cellulosilyticus
MJ030-2-barcode67-umi72030bins-ubs-8	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
GB-GCA-910577715.1-CAJTOQ010000285.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-910574325.1-NZ-CAJTBC010000023.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-003671855.1-NZ-RAZM01000129.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 acidifaciens
EU136694	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
GB-GCA-003762605.1-RIBA01000042.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 acidifaciens
MJ006-2-barcode70-umi122440bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-002959695.1-NZ-PUEO01000009.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-007556425.1-NZ-RWHY01000133.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode70-umi27802bins-ubs-10	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-2-barcode70-umi166643bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 thetaiotaomicron
MJ006-1-barcode29-umi157218bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 thetaiotaomicron
GB-GCA-000980475.1-LARM01000066.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 thetaiotaomicron
MJ006-2-barcode59-umi207271bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode38-umi106597bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 faecis
GB-GCA-003463955.1-QSEG01000126.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-000178275.1-NZ-ADMO01000058.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode39-umi102193bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
