#OTU ID	SRR22325885	SRR22325887	SRR22325889	SRR22325892	SRR22325897	SRR22325900	SRR22325902	SRR22325904	SRR22325908	SRR22325910	SRR22325911	SRR22325912	SRR22325915	SRR22325919	SRR22325921	SRR22325924	SRR22325926	SRR22325928	SRR22325931	SRR22325933	SRR22325934	SRR22325940	SRR22325943	SRR22325945	SRR22325946	SRR22325951	SRR22325954	SRR22325956	SRR22325957	SRR22325960	SRR22325961	SRR22325965	SRR22325966	SRR22325968	SRR22325971	SRR22325976	SRR22325979	SRR22325982	SRR22325984	SRR22325988	SRR22325989	SRR22325991	SRR22325992	SRR22325995	SRR22325998	SRR22325999	SRR22326000	SRR22326002	ERR1688157_ERR1688236	ERR1688161_ERR1688240	ERR1688164_ERR1688243	ERR1688165_ERR1688244	ERR1688167_ERR1688246	ERR1688180_ERR1688259	ERR1688181_ERR1688260	ERR1688183_ERR1688262	ERR1688188_ERR1688267	ERR1688192_ERR1688271	ERR1688193_ERR1688272	ERR1688201_ERR1688280	ERR1688205_ERR1688284	ERR1688215_ERR1688294	ERR1688216_ERR1688295	ERR1688233	ERR1688234	ERR1688235	ERR1688237	ERR1688238	ERR1688239	ERR1688245	ERR1688247	ERR1688248	ERR1688249	ERR1688250	ERR1688251	ERR1688253	ERR1688255	ERR1688256	ERR1688257	ERR1688261	ERR1688263	ERR1688265	ERR1688266	ERR1688268	ERR1688270	ERR1688273	ERR1688274	ERR1688276	ERR1688279	ERR1688282	ERR1688283	ERR1688285	ERR1688286	ERR1688287	ERR1688289	ERR1688291	ERR1688292	ERR1688293	ERR1688297	ERR1688299	ERR1688302	ERR1688304	ERR1688305	ERR1688306	ERR1688309	SRR28984060	SRR28984075	SRR28984090	SRR28984093	SRR28984101	SRR28984182	SRR28984190	SRR28984191	SRR28984197	SRR28984208	SRR28984210	SRR28984216	SRR28984219	SRR28984245	SRR28984260	SRR28984264	SRR28984270	SRR28984277	SRR28984285	SRR28984291	SRR28984304	SRR28984306	SRR28984321	SRR28984328	SRR28984329	SRR28984336	SRR28984342	SRR28984343	SRR28984352	SRR28984357	SRR28984368	SRR28984381	SRR28984399	SRR28984424	SRR28984440	SRR28984541	SRR28984707	SRR28984716
GB-GCA-008669045.1-RQAJ01000001.1	2755	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	678	377	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8476	0	0	0	0	0	0	0	2929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12100	0	0	0	0	0	0	0	9115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RS-GCF-015551785.1-NZ-JADNDJ010000070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2134	586	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RS-GCF-004347525.1-NZ-SLTU01000001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB-GCA-000980245.1-LARE01000167.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	108	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	3134
LC468789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	4	0	0
RS-GCF-009663755.1-NZ-RDBS01000044.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	419	0	0	0	0	0	1	0	0	1	1	0	1345	0	0	0	0	0	0	0	0	0	0	7369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3449	0	0	0	0	0
MJ006-1-barcode35-umi110232bins-ubs-4	0	0	0	0	0	0	0	0	0	0	0	9140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB-GCA-905373295.1-CAJPSJ010000093.1	0	2	1	1	4	0	0	2	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RS-GCF-002966755.1-NZ-CP020025.1--5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	31	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB-GCA-013315935.1-CP054335.1--2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8990	0	0	0	0	0	0	0	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
