"","ID","First_Author","Year","Journal_Abrev","Title","Decision","Library URL","doi","pmid"
"32","9d6ba4c3675648aac1348ab3193648b93967529ca49c9c14cc548ff4ab31992d","Andrlova, Hana",2021,"Blood","MAIT and Vδ2 Unconventional T Cells Predict Favorable Outcome after Allogeneic HCT and Are Supported By a Diverse Intestinal Microbiome","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/6132d579-bf57-484e-abdd-7f682ec6b374","10.1182/blood-2021-151412",NA
"33","ca21c3658a0e1da51f92154d9454890107597288aa326d8f2aa38dd14bb0fd1c","Andrlová, Hana",2022,"Sci. Transl. Med.","MAIT and Vδ2 unconventional T cells are supported by a diverse intestinal microbiome and correlate with favorable patient outcome after allogeneic HCT","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/5fca44e1-4a2a-4fe5-b1a7-518192252fdf","10.1126/scitranslmed.abj2829",35613281
"34","7131405ea82f58a9e1580a35511760f7747edadb1706f9627348e08ce3b3602a","Alba, Claudio",2026,"Int. J. Mol. Sci.","Metataxonomic Analysis and Fatty Acid Profiling of Feces from Children Undergoing Hematopoietic Stem Cell Transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/8a001eab-f7ac-4d95-9689-5fd91adef60e","10.3390/ijms27052331",41828553
"35","27a59f5d0ca5f6abc2cceaecfca912c3c651c2dce5535132c51b1b22a1430a84","Farhadfar, Nosha",2018,"Blood","Microbiota Phylogenic Analysis Revealed Decreased Abundance of Faecalibacterium Prausnitzii, an Anti-Inflammatory Commensal Bacterium, in Patients with Chronic Graft-Versus-Host Disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/ce76727a-4626-43c0-8c1e-42b53e484bba","10.1182/blood-2018-99-113658",NA
"36","900da310d2ed6ce193344f31256c8e680ce90623529ef4757d5f63a9d6845d3e","Artacho, Alejandro",2024,"Microbiome","Multimodal analysis identifies microbiome changes linked to stem cell transplantation-associated diseases","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/9e5d0f81-c2da-47ef-a4a5-5a7d7f56b099","10.1186/s40168-024-01948-0",39511587
"37","8b71460920e7185f063d85896842db21d57897957cbc1df747a96895dcc434c7","Biennier, Salomé",2024,"Microorganisms","Narrative Review: Advancing Dysbiosis Treatment in Onco-Hematology with Microbiome-Based Therapeutic Approach","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/978af230-4180-4424-be34-7f54eb387d10","10.3390/microorganisms12112256",39597645
"38","3d90e6c193c11c759649375ffdabf34e9ab7905614c8a734fd060c80759ceff9","Ara, Takahide",2021,"Front. Immunol.","Novel Insights Into the Mechanism of GVHD-Induced Tissue Damage","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fb92dfaf-6803-4697-980d-9b7edfc13bad","10.3389/fimmu.2021.713631",34512636
"39","073db303a3bcd2973a1294a07935727acc7b47665c91eb2793d674bc8a4b71e3","Daoud-Asfour, Haneen",2022,"Transplant. Cell. Ther.","Omitting Ciprofloxacin Prophylaxis in Patients Undergoing Allogeneic Hematopoietic Stem Cell Transplantation and Its Impact on Clinical Outcomes and Microbiome Structure","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/73d3cdc1-7488-422e-b4f9-0ebe086f8323","10.1016/j.jtct.2021.12.012",34954293
"40","e1fec3774a6bf815cce9ab07e48343304122f682e597dbe31a3a6beadfa5d201","Gandhi, Parth",2020,"Blood","Plasma Short Chain Fatty Acids As a Predictor of Response to Therapy for Life-Threatening Acute Graft-Versus-Host Disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/f0cc4e75-62d3-4e71-b49a-6d420c9a8dbd","10.1182/blood-2020-140117",NA
"41","81c3fe0a96cf2e4d71e724be68908553afb1b19c681a723597e795134028d027","Crossland, Rachel E.",2020,"Front. Immunol.","Potential Novel Biomarkers in Chronic Graft-Versus-Host Disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/fc2c9170-6305-42ca-9b84-b89c3dc6eb43","10.3389/fimmu.2020.602547",33424849
"42","ce19bd9e7a050611968b47521241200f5f3a96cbb2776454d783dca773aa0c95","Golob, Jonathan L",2017,"Clin. Infect. Dis.","Stool Microbiota at Neutrophil Recovery Is Predictive for Severe Acute Graft vs Host Disease After Hematopoietic Cell Transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/9a051644-764a-47d2-9b7f-5fc6779f92a3","10.1093/cid/cix699",29020185
"43","615dcda8e472754d765078ab4420b4bdbd05585283616db5962b50e994f560ae","Blair, Lily",2019,"Blood","The Blood Microbiome Predicts Acute Graft-Versus-Host Disease after Stem Cell Transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/2bb273ac-5986-42b1-8019-b2ac8830b29b","10.1182/blood-2019-129272",NA
"44","352f52402d35bd58498119c88bfa0c8d2683519f42942218bdc1eed354f0da8b","Devaux, Christian Albert",2020,"Front. Microbiol.","The Butyrogenic and Lactic Bacteria of the Gut Microbiota Determine the Outcome of Allogenic Hematopoietic Cell Transplant","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/eecb0439-cf90-4652-aa23-1b309dc11940","10.3389/fmicb.2020.01642",32793150
"45","8958235f5c40f0fe4131258d085b86ab77e1c555ad2ea7eb516e026c86e1840b","Gavriilaki, Maria",2020,"Biol. Blood Marrow Transplant.","The Impact of Antibiotic-Mediated Modification of the Intestinal Microbiome on Outcomes of Allogeneic Hematopoietic Cell Transplantation: Systematic Review and Meta-Analysis","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/371940e8-2914-491d-874f-f50a6a8ec8cb","10.1016/j.bbmt.2020.05.011",32447043
"46","4b8b3464cac34bc1d6f0eb3685fd6a1bcd660dbeb3c92dd6e7f2052d2f5a99a7","Gao, Meng-Ge",2021,"Front. Immunol.","The Potential Roles of Mucosa-Associated Invariant T Cells in the Pathogenesis of Gut Graft-Versus-Host Disease After Hematopoietic Stem Cell Transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/2b823365-8724-4838-b07e-9a30666b33ea","10.3389/fimmu.2021.720354",34539656
"47","16c1b393afc4b05e71e4b9166368e4db6060d7260cf6f21da9be677a3ae9ed1b","Biliński, Jarosław",2022,"Biomedicines","The Role of Fecal Microbiota Transplantation in the Treatment of Acute Graft-versus-Host Disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/a2d8a315-4f8b-4c65-a60a-ac00cf883b07","10.3390/biomedicines10040837",35453587
"48","6d33704a7e59fad05b60d700d395d2fde05380d2e053e21c8b94637611672a1a","Chen, Yuanyuan",2015,"J. Immunol. Res.","The Role of Intestinal Microbiota in Acute Graft‐versus‐Host Disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/334bc4eb-248e-4675-9d3d-198e1a7f740c","10.1155/2015/145859",26090477
"49","bcbf4e89ad66ed4b9bb228ce83f7ded1aea9555d39f68ce8ea65ed082b7b12de","Gao, Jun",2023,"Transplant. Cell. Ther.","The clinical value of anal swabs for microbial detection in allogeneic haematopoietic stem cell transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/4bee6c78-12a3-429a-96bf-8f5791f8dd1e","10.1016/j.jtct.2023.07.018",37499872
"50","20e87304d76e651d7f14de5d0c52cd7dbc2dcc3cd033a9e62c13705a2421c425","Chang, Chia-Chi",2021,"Expert Opin. Biol. Ther.","The role of microbiota in allogeneic hematopoietic stem cell transplantation","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/b8268e46-0b7c-4eb4-b668-489ac8ae349b","10.1080/14712598.2021.1872541",33412949
"51","102f2bbfa4645265a7f9ac03cd29f10e3aba5a5ff98af828d551d34d14d22973","DeFilipp, Zachariah",2018,"Blood Adv.","Third-party fecal microbiota transplantation following allo-HCT reconstitutes microbiome diversity","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/f644772f-2b37-44e9-9593-4a4e1fe3e622","10.1182/bloodadvances.2018017731",29592876
"52","734daa82892c516a10b87670578d6032a5bed2096a941db1bfa9dc12fe813407","Gooptu, Mahasweta",2020,"Haematologica","Translational and clinical advances in acute graft-versus-host disease","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/57193805-7268-4001-bf93-197e0b162f96","10.3324/haematol.2019.240309",33054103
"53","24abad8ad0954815a5a0dfabe0ece4b27a683c6d050bc3582bb5816dcf2316d0","Barrett, John",2018,"Best Pr. Res. Clin. Haematol.","Why is a 3-year NRM following allogeneic transplantation still stuck at approximately 20%?","include","https://app.readcube.com/library/e709e885-1259-44a2-b6a4-521798c9bfd8/item/7e54ee3d-d334-4bf6-8e52-8b93ec1762b2","10.1016/j.beha.2018.09.011",30466759
