sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
ERR1688300	328741	321861	97.91	312890	151618	46.12
ERR1688301	204099	199105	97.55	197680	107154	52.5
ERR1688302	214304	209790	97.89	203551	109306	51.01
ERR1688303	312782	306566	98.01	301993	177582	56.78
ERR1688304	214796	209277	97.43	206268	158277	73.69
ERR1688305	224316	219185	97.71	216650	139796	62.32
ERR1688306	224150	218930	97.67	215130	145092	64.73
ERR1688307	204920	200187	97.69	197176	121433	59.26
ERR1688308	229529	223199	97.24	218745	184095	80.21
ERR1688309	569444	556178	97.67	538758	190004	33.37
