Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28984048,AMPLICON,600,21119972,PRJNA1109929,SAMN41307216,Metagenome or environmental,10677796,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513150,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 34,34.646870 N 135.5067002 E,OCUBMT008_day14,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT008_day14,SRP506877
SRR28984049,AMPLICON,600,70277104,PRJNA1109929,SAMN41306813,Metagenome or environmental,37467217,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513149,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 15,34.646870 N 135.5067002 E,Patient026_day0_15,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day0_15,SRP506877
SRR28984050,AMPLICON,601,61847275,PRJNA1109929,SAMN41306811,Metagenome or environmental,33146474,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513147,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 13,34.646870 N 135.5067002 E,Patient026_day0_13,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day0_13,SRP506877
SRR28984051,AMPLICON,601,60543264,PRJNA1109929,SAMN41306810,Metagenome or environmental,32317180,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2023,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24513146,Japan,Asia,Japan,Mus musculus,Illumina MiSeq,feces 12,34.646870 N 135.5067002 E,Patient026_day0_12,PAIRED,PCR,METAGENOMIC,mouse metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,Patient026_day0_12,SRP506877
SRR28984052,AMPLICON,602,61083736,PRJNA1109929,SAMN41307336,Metagenome or environmental,34963928,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513144,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 154,34.646870 N 135.5067002 E,OCUBMT025_day56,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day56,SRP506877
SRR28984053,AMPLICON,602,60924206,PRJNA1109929,SAMN41307335,Metagenome or environmental,35462560,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24513143,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 153,34.646870 N 135.5067002 E,OCUBMT025_day49,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day49,SRP506877
SRR28984054,AMPLICON,602,95808902,PRJNA1109929,SAMN41307333,Metagenome or environmental,56727545,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513141,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 151,34.646870 N 135.5067002 E,OCUBMT025_day35,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day35,SRP506877
SRR28984055,AMPLICON,602,77859670,PRJNA1109929,SAMN41307198,Metagenome or environmental,41566563,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24513140,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 16,34.646870 N 135.5067002 E,OCUBMT002_pre,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT002_pre,SRP506877
SRR28984056,AMPLICON,602,71816794,PRJNA1109929,SAMN41307332,Metagenome or environmental,42834319,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513139,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 150,34.646870 N 135.5067002 E,OCUBMT025_day28,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day28,SRP506877
SRR28984057,AMPLICON,602,84795914,PRJNA1109929,SAMN41307334,Metagenome or environmental,47219475,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24513142,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 152,34.646870 N 135.5067002 E,OCUBMT025_day42,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT025_day42,SRP506877
